"not taken"
1
0
0
552
0
0
0
144348
0
467992
276
1
0
0
0
16565932
4960822
66792
0
0
0
494360
0
0
0
0
0
0
126694934
0
4967029
7118405
1784135
0
0
0
0
108846
1104
276
0
0
87448
33238
276
552
0
4967029
274
1656
276
276
0
275
0
0
0
494360
0
425295

0
0
828
0
0
276
66516
0
4869893
276
0
276
276
4967030
276
0
0
275
168781
4967030
276
67896
0
33810138
276
276
494359
0
0
66516
12739421
0
276
828
276
0
467992
275
63590400
0
276
0
0
0
0
0
494359
4967030
0
0
0
0
276
552
0
828
276
0
276
0
0
0
0
0
0
146000
0
276
0
0
552
